Titulo,link
Plan estratégico de marketing web para la Universidad de San Buenaventura - Bogotá,http://openaccess.uoc.edu/webapps/o2/handle/10609/26861
"Conceptualització, disseny i llançament d'un negoci online de desenvolupament web, comunicació i màrqueting",http://openaccess.uoc.edu/webapps/o2/handle/10609/26841
"Promoción online de Educawin, una aplicación para la gestión de centros educativos",http://openaccess.uoc.edu/webapps/o2/handle/10609/26801
Análisis de la interfaz de usuario de la webApp aTurnos.com,http://openaccess.uoc.edu/webapps/o2/handle/10609/26721
Creació d'una pàgina web per a una professional de l'art,http://openaccess.uoc.edu/webapps/o2/handle/10609/26681
"Parenòs-tic : Imatge, web i disseny gràfic de l'aplicació mòvil d'un almanac",http://openaccess.uoc.edu/webapps/o2/handle/10609/26621
Desenvolupament d'un sistema de comunicació entre les assessories fiscals i els seus clients,http://openaccess.uoc.edu/webapps/o2/handle/10609/26441
Quadre de comandament integral,http://openaccess.uoc.edu/webapps/o2/handle/10609/26421
Aplicació d'esport per a dispositius iOS,http://openaccess.uoc.edu/webapps/o2/handle/10609/26401
"Desarrollo del sitio web para la Sociedad Latinoamericana de Primatología, SLAPrim",http://openaccess.uoc.edu/webapps/o2/handle/10609/26381
A business plan for SylvaDB,http://openaccess.uoc.edu/webapps/o2/handle/10609/26361
Planificació i disseny d'una revista electrònica : www.senseseny.com,http://openaccess.uoc.edu/webapps/o2/handle/10609/26341
Creación de una tienda online (marco teórico),http://openaccess.uoc.edu/webapps/o2/handle/10609/22543
GuruTecno : Gestión web y música electrónica,http://openaccess.uoc.edu/webapps/o2/handle/10609/22401
Creació d'un portal web per a un hotel rural usant el CMS Drupal,http://openaccess.uoc.edu/webapps/o2/handle/10609/22364
Diseño de un producto multiplataforma,http://openaccess.uoc.edu/webapps/o2/handle/10609/22363
Gestió de la innovació,http://openaccess.uoc.edu/webapps/o2/handle/10609/22303
Desenvolupament d'una aplicació amb jocs educatius per a l'ensenyament infantil,http://openaccess.uoc.edu/webapps/o2/handle/10609/20301
